[02Dec2024 00:15:45.296] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.neoForgeVersion, 20.4.237, --fml.fmlVersion, 2.0.17, --fml.mcVersion, 1.20.4, --fml.neoFormVersion, 20231207.154220, nogui]
[02Dec2024 00:15:47.190] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appleskin-neoforge-mc1.20.4-2.5.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.190] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Applied-Mekanistics-1.5.3-beta.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.191] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appliedenergistics2-neoforge-17.13.0-beta.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.191] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-11.1.17-neoforge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.192] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ArmorPoser-neoforge-1.20.4-4.2.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.192] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "athena-neoforge-1.20.4-3.3.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.193] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AttributeFix-NeoForge-1.20.4-24.0.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.193] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BadOptimizations-2.1.4-1.20.2-20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.193] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bagus_lib-1.20.4-8.8.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.194] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-neoforge-1.20.4-9.0.9.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.195] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterAnimationsCollection-v20.4.0-1.20.4-NeoForge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.195] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterCompatibilityChecker-neoforge-5.1.2+mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.195] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterF3-9.0.2-NeoForge-1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.195] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "betterspawnercontrol-1.20.4-4.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.196] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BlockRunner-v20.4.1-1.20.4-NeoForge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.196] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "blockshot-neoforge-1.20.4-1.4.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.196] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Bookshelf-NeoForge-1.20.4-23.1.9.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.197] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BridgingMod-2.4.0+1.20.4.neoforge-release.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.197] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "buildinggadgets2-1.1.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.197] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CarbonConfig-Neoforge-1.20.4-1.2.6.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.197] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CerbonsAPI-NeoForge-1.20.4-1.1.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.198] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "charmofundying-neoforge-7.1.2+1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.198] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "chickens-neoforge-1.20.4-2.0.6.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.199] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Chipped-neoforge-1.20.4-3.1.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.200] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ChippedExpress-universal.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.200] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cleanswing-1.5.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.208] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "clienttweaks-neoforge-1.20.4-13.0.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.209] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cloth-config-13.0.121-neoforge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.209] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Clumps-neoforge-1.20.4-15.0.0.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.209] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cobweb-neoforge-1.20.4-1.0.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.211] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "collective-1.20.4-7.64.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.211] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CombatNouveau-v20.4.5-1.20.4-NeoForge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.212] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "comforts-neoforge-7.2.2+1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.212] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CommonCapabilities-1.20.4-neoforge-2.9.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.212] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "connectedglass-1.1.11-neoforge-mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.212] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Controlling-neoforge-1.20.4-15.0.5.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.212] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cookingforblockheads-neoforge-1.20.4-18.0.8.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.213] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "copper_amulets-neoforge-1.20.4-1.17.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.213] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "craftingtweaks-neoforge-1.20.4-20.0.3.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.213] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "crashutilities-8.2.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.213] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CreativeCore_NEOFORGE_v2.11.26_mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.214] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "cristellib-1.2.2-neoforge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.214] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ctov-3.4.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.214] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "curios-neoforge-7.4.3+1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.215] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "CyclopsCore-1.20.4-neoforge-1.19.3.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.215] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DarkUtilities-NeoForge-1.20.4-19.0.6.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.215] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "default-server-properties-neoforge-84.0.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.215] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "defaultoptions-neoforge-1.20.4-20.0.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.216] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DimStorage-1.20.4-8.1.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.217] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Ding-1.20.4-NeoForge-1.5.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.217] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DistractingTrims-NeoForge-1.20.4-5.0.3.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.217] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "DungeonCrawl-NeoForge-1.20.4-2.3.14.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.218] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "durabilitytooltip-1.1.5-neoforge-mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.218] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "easy-piglins-neoforge-1.20.4-1.0.5.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.218] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "easy-villagers-neoforge-1.20.4-1.1.13.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.219] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EasyAnvils-v20.4.6-1.20.4-NeoForge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.219] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EdivadLib-1.20.4-2.1.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.219] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EffectDescriptions-v20.4.0-1.20.4-NeoForge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.220] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "elevatorid-1.20.4-1.9.8.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.220] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emi-1.1.12+1.20.4+neoforge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.221] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "emitrades-neoforge-1.3.0+mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.221] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EnchantableBlocks-1.20.4-0.0.13.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.222] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Enchantment Requirements-1.20.4-1.2.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.222] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EnchantmentDescriptions-NeoForge-1.20.4-20.1.7.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.222] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "endermanoverhaul-neoforge-1.20.4-1.1.8.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.223] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "EnderZoology-v20.4.3-1.20.4-NeoForge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.223] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entangled-1.3.18-neoforge-mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.223] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "entityculling-neoforge-1.6.6-mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.224] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "equivalentexchange-1.20.4-1.0.11-neoforge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.224] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "extended-industrialization-1.1.5+1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.224] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ExtendedAE-1.20-2.0.0-neoforge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.225] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "fallingleaves-1.20.4-2.4.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.225] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "farmingforblockheads-neoforge-1.20.4-16.0.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.226] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ferritecore-6.0.3-forge.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.227] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "flatbedrock-neoforge-84.0.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.227] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FlowerPatch-neoforge-1.20.4-5.0.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.228] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "forcecraft-1.20.4-5.1.7.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.228] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "formations-1.0.2-neoforge-mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.228] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "formationsnether-1.0.5.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.229] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "FriendlyFire-NeoForge-1.20.4-21.0.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.229] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-auxilium-neoforge-20.4.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.229] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-chunks-neoforge-2004.1.3.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.230] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-essentials-neoforge-2004.1.3.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.230] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-filter-system-neoforge-2.0.1.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.230] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-library-neoforge-2004.2.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.231] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-pack-companion-20.4.3+mc1.20.4.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.231] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-quests-neoforge-2004.2.3.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.231] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-ranks-neoforge-2004.2.0.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
[02Dec2024 00:15:47.232] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ftb-teams-neoforge-2004.1.2.jar" of type MOD with provider {mods folder locator at /workspaces/ideal-carnival/servidor_minecraft/mods}
